,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l(r:p1rlv1359-rdt793lv),rdt793lv.1.2,p1rlv1359.1.2,1p_oh_al_4_periwinkle_2,0.001,2,----,----,----,----,----,----,['1.76096666666667 |0.395966666666667 1.76096666666667'],['0.669833333333333 |0.568633333333333 0.669833333333333'],['36.9250333333333 |-17.5589666666667 36.9250333333333'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1862-rdm1866),rdm1866.1.2,p1rlv1862.1.2,1p_oh_al_4/0_zuzara_2,0.0412737,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:rdm1866-rdt1110lv),rdt1110lv.1.2,rdm1866.1.2,1p_oh_al_2/0_rucina_2,0.0161444,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1864-rdm1868),rdm1868.1.2,p1rlv1864.1.2,1p_oh_al_4/0_zuzara_2,0.0681341,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:rdm1868-rdt1110lv),rdt1110lv.1.2,rdm1868.1.2,1p_oh_al_4/0_zuzara_2,0.0277124,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1865-rdt1111lv),rdt1111lv.1.2,p1rlv1865.1.2,1p_oh_al_4/0_zuzara_2,0.0370739,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1868-rdt1114lv),rdt1114lv.1.2,p1rlv1868.1.2,1p_oh_al_4_periwinkle_2,0.001,2,----,----,----,----,----,----,['1.76096666666667 |0.395966666666667 1.76096666666667'],['0.669833333333333 |0.568633333333333 0.669833333333333'],['36.9250333333333 |-17.5589666666667 36.9250333333333'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1869-rdt1115lv),rdt1115lv.1.2,p1rlv1869.1.2,1p_ug_al_1/0_brenau_2,0.001,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1870-rdm1874),rdm1874.1.2,p1rlv1870.1.2,1p_oh_al_4/0_zuzara_2,0.0441275,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:rdm1874-rdt1116lv),rdt1116lv.1.2,rdm1874.1.2,1p_oh_al_2/0_rucina_2,0.0160778,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1871-rdm1875),rdm1875.1.2,p1rlv1871.1.2,1p_oh_al_4/0_zuzara_2,0.0696996,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:rdm1875-rdt1116lv),rdt1116lv.1.2,rdm1875.1.2,1p_oh_al_2/0_rucina_2,0.0160875,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1872-rdm1876),rdm1876.1.2,p1rlv1872.1.2,1p_oh_al_4/0_zuzara_2,0.0947969,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:rdm1876-rdt1117lv),rdt1117lv.1.2,rdm1876.1.2,1p_oh_al_2/0_rucina_2,0.0193076,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1873-rdm1877),rdm1877.1.2,p1rlv1873.1.2,1p_oh_al_4/0_zuzara_2,0.0782976,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:rdm1877-rdt1117lv),rdt1117lv.1.2,rdm1877.1.2,1p_oh_al_2/0_rucina_2,0.019316,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1874-rdt1118lv),rdt1118lv.1.2,p1rlv1874.1.2,1p_oh_al_4/0_zuzara_2,0.0302837,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1875-rdt1119lv),rdt1119lv.1.2,p1rlv1875.1.2,1p_oh_al_4/0_zuzara_2,0.039782,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1876-rdt1119lv),rdt1119lv.1.2,p1rlv1876.1.2,1p_oh_al_4/0_zuzara_2,0.0628104,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1877-rdm1881),rdm1881.1.2,p1rlv1877.1.2,1p_oh_al_4/0_zuzara_2,0.0967,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:rdm1881-rdt1119lv),rdt1119lv.1.2,rdm1881.1.2,1p_oh_al_2/0_rucina_2,0.019316,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1878-rdt1120lv),rdt1120lv.1.2,p1rlv1878.1.2,1p_oh_al_2/0_rucina_2,0.014846,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1879-rdt1120lv),rdt1120lv.1.2,p1rlv1879.1.2,1p_oh_al_4_periwinkle_2,0.001,2,----,----,----,----,----,----,['1.76096666666667 |0.395966666666667 1.76096666666667'],['0.669833333333333 |0.568633333333333 0.669833333333333'],['36.9250333333333 |-17.5589666666667 36.9250333333333'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1880-rdt1120lv),rdt1120lv.1.2,p1rlv1880.1.2,1p_oh_al_2/0_rucina_2,0.014281,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1881-rdt1121lv),rdt1121lv.1.2,p1rlv1881.1.2,1p_oh_al_2/0_rucina_2,0.0243911,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1882-rdt1121lv),rdt1121lv.1.2,p1rlv1882.1.2,1p_oh_al_4_periwinkle_2,0.00389787,2,----,----,----,----,----,----,['1.76096666666667 |0.395966666666667 1.76096666666667'],['0.669833333333333 |0.568633333333333 0.669833333333333'],['36.9250333333333 |-17.5589666666667 36.9250333333333'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1883-rdt1121lv),rdt1121lv.1.2,p1rlv1883.1.2,1p_oh_al_4/0_zuzara_2,0.028201,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1888-rdt1124lv),rdt1124lv.1.2,p1rlv1888.1.2,1p_oh_al_4_periwinkle_2,0.001,2,----,----,----,----,----,----,['1.76096666666667 |0.395966666666667 1.76096666666667'],['0.669833333333333 |0.568633333333333 0.669833333333333'],['36.9250333333333 |-17.5589666666667 36.9250333333333'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1889-rdt1125lv),rdt1125lv.1.2,p1rlv1889.1.2,1p_oh_al_4/0_zuzara_2,0.0314263,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1890-rdt1125lv),rdt1125lv.1.2,p1rlv1890.1.2,1p_oh_al_2/0_rucina_2,0.00844213,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1891-rdt1125lv),rdt1125lv.1.2,p1rlv1891.1.2,1p_oh_al_2/0_rucina_2,0.023029,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1892-rdt1126lv),rdt1126lv.1.2,p1rlv1892.1.2,1p_oh_al_2/0_rucina_2,0.0171313,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1893-rdt1127lv),rdt1127lv.1.2,p1rlv1893.1.2,1p_oh_al_4/0_zuzara_2,0.0470495,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1894-rdt1128lv),rdt1128lv.1.2,p1rlv1894.1.2,1p_oh_al_4/0_zuzara_2,0.0673578,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1895-rdt1129lv),rdt1129lv.1.2,p1rlv1895.1.2,1p_oh_al_2/0_rucina_2,0.0112612,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1896-rdt1130lv),rdt1130lv.1.2,p1rlv1896.1.2,1p_oh_al_4/0_zuzara_2,0.0694654,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1897-rdt1131lv),rdt1131lv.1.2,p1rlv1897.1.2,1p_oh_al_4/0_zuzara_2,0.0336707,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1898-rdm1902),rdm1902.1.2,p1rlv1898.1.2,1p_oh_al_2/0_rucina_2,0.0161159,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:rdm1902-rdt1131lv),rdt1131lv.1.2,rdm1902.1.2,1p_oh_al_2/0_rucina_2,0.0159021,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1899-rdt1132lv),rdt1132lv.1.2,p1rlv1899.1.2,1p_oh_al_4/0_zuzara_2,0.0477475,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1900-rdt1133lv),rdt1133lv.1.2,p1rlv1900.1.2,1p_oh_al_2/0_rucina_2,0.00439602,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1901-rdt1134lv),rdt1134lv.1.2,p1rlv1901.1.2,1p_oh_al_4/0_zuzara_2,0.0421201,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1902-rdt1135lv),rdt1135lv.1.2,p1rlv1902.1.2,1p_oh_al_4/0_zuzara_2,0.0474181,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1903-rdt1136lv),rdt1136lv.1.2,p1rlv1903.1.2,1p_oh_al_2/0_rucina_2,0.0197766,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1907-rdt1137lv),rdt1137lv.1.2,p1rlv1907.1.2,1p_oh_al_4_periwinkle_2,0.001,2,----,----,----,----,----,----,['1.76096666666667 |0.395966666666667 1.76096666666667'],['0.669833333333333 |0.568633333333333 0.669833333333333'],['36.9250333333333 |-17.5589666666667 36.9250333333333'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1908-rdt1138lv),rdt1138lv.1.2,p1rlv1908.1.2,1p_oh_al_4_periwinkle_2,0.001,2,----,----,----,----,----,----,['1.76096666666667 |0.395966666666667 1.76096666666667'],['0.669833333333333 |0.568633333333333 0.669833333333333'],['36.9250333333333 |-17.5589666666667 36.9250333333333'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1912-rdm1911),rdm1911.1.2,p1rlv1912.1.2,1p_oh_al_2/0_rucina_2,0.0212665,2,----,----,----,----,----,----,['0.716633333333333 |0.287533333333333 0.716633333333333'],['0.288833333333333 |0.193233333333333 0.288833333333333'],['39.3595 |-19.3421 39.3595'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv1909-rdm1910),rdm1910.1.2,p1rlv1909.1.2,1p_oh_al_4/0_zuzara_2,0.0329383,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.213533333333333 |0.124733333333333 0.213533333333333'],['41.3578 |-20.4474 41.3578'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
