,phases,bus1,kv,irradiance,Pmpp,%Pmpp,Temperature,pf,conn,kvar,kVA,%Cutin,%Cutout,EffCurve,P-TCurve,%R,%X,model,Vminpu,Vmaxpu,Balanced,LimitCurrent,yearly,daily,duty,Tyearly,Tdaily,Tduty,class,UserModel,UserData,debugtrace,VarFollowInverter,DutyStart,WattPriority,PFPriority,%PminNoVars,%PminkvarMax,kvarMax,kvarMaxAbs,spectrum,basefreq,enabled,like
PVSystem.pv_load_p2ulv27210,1,p2ulv27210.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18710,1,p2ulv18710.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_45_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18733,1,p2ulv18733.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18742,1,p2ulv18742.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv5802,1,p2ulv5802.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18726,1,p2ulv18726.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_45_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20216,1,p2ulv20216.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18620,1,p2ulv18620.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv9368,1,p2ulv9368.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv17458,1,p2ulv17458.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45254,1,p2ulv45254.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_45_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17054,1,p2ulv17045.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45222,1,p2ulv45222.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45325,1,p2ulv45325.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv2561,3,p2ulv2561.1.2.3,0.48,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv18666,1,p2ulv18665.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20085,1,p2ulv20085.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv19017,1,p2ulv19017.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45238,1,p2ulv45238.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45226,1,p2ulv45225.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17082,1,p2ulv17081.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18549,1,p2ulv18549.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv18635,1,p2ulv18634.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv17193,1,p2ulv17193.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv45331,1,p2ulv45331.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv15567,1,p2ulv15567.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18634,1,p2ulv18634.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv20116,1,p2ulv20116.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17064,1,p2ulv17064.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17212,1,p2ulv17212.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv22999,1,p2ulv22999.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv43959,1,p2ulv43959.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45243,1,p2ulv45243.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv15563,1,p2ulv15563.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18657,1,p2ulv18657.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17121,1,p2ulv17121.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2umv168,3,p2umv168.1.2.3,12.47,1,300,100,25,1,wye,0,272.727,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,272.727,272.727,,60,True,
PVSystem.pv_load_p2ulv17466,3,p2ulv17466.1.2.3,0.48,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
