Hour=0, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.00625.
Hour=163, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=167, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=174, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=190, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=193, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=198, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=216, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=223, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=240, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=246, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=264, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=274, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=289, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=295, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=307, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=312, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=342, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=358, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=366, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=382, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=391, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=401, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.03125.
Hour=406, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.025.
Hour=415, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.03125.
Hour=429, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.025.
Hour=431, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=438, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=454, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=480, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=510, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=528, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=543, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=552, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=558, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=648, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=666, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=672, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=678, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=714, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=718, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=726, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=742, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=768, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=774, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=786, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=791, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=811, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=816, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=888, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=894, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=913, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=918, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=961, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=968, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=984, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1015, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1032, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1038, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1057, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1061, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1081, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1097, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1103, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1115, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1127, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1136, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1153, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1170, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1176, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1184, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1201, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1209, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1224, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1235, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1248, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1255, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1272, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1279, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1297, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1309, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1321, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1353, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1368, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1374, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1392, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1398, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1415, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1434, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1441, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1446, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1488, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1519, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1536, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1543, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1656, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1674, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1759, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=1773, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=1775, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1782, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1802, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1808, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1824, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1878, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1944, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=1949, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=1994, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2000, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2064, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2100, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2112, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2125, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2137, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2195, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2208, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2224, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2232, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2244, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2256, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2262, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2280, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2286, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2304, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2320, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2329, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2359, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2375, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2406, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2423, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2436, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2447, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2459, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2472, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2484, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2487, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=2495, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=2496, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2549, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2567, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2576, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2592, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2602, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2616, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2621, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2641, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2655, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2664, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2752, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2758, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2772, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2783, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2821, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2832, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2864, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2880, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2890, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
Hour=2895, Sec=900, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.025.
Hour=2902, Sec=1800, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.01875.
Hour=2904, Sec=2700, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED -1 TAPS TO 1.0125.
Hour=2914, Sec=0, ControlIter=1, Element=Regulator.trans_reg_creguladortension(r:rdt213-rdt226), Action= CHANGED 1 TAPS TO 1.01875.
