,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l(r:idm253-p1ilv261),idm253.1.2,p1ilv261.1.2,1P_OH_AL_4/0_Zuzara_2,0.0696211,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm249-idm253),idm249.1.2,idm253.1.2,1P_OH_AL_2/0_Rucina_2_3,0.00909001,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,151,600,0.1,20,3,60,True,
Line.l(r:idm249-idt145lv),idt145lv.1.2,idm249.1.2,1P_OH_AL_2/0_Rucina_2_2,0.00966033,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,595,600,0.1,20,3,60,True,
Line.l(r:idt202lv-p1ilv534),idt202lv.1.2,p1ilv534.1.2,1P_OH_AL_4_Periwinkle_2,0.001,2,----,----,----,----,----,----,['1.760967 |0.3959667 1.760967'],['0.6698333 |0.5686333 0.6698333'],['36.92503 |-17.55897 36.92503'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idt203lv-p1ilv2503),idt203lv.1.2,p1ilv2503.1.2,1P_OH_AL_4/0_Zuzara_2,0.144147,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm532-p1ilv535),idm532.1.2,p1ilv535.1.2,1P_OH_AL_2/0_Rucina_2,0.0247648,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idm532-idt203lv),idt203lv.1.2,idm532.1.2,1P_OH_AL_2/0_Rucina_2,0.0198003,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:idt228lv-p1ilv563),idt228lv.1.2,p1ilv563.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0214849,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:idt891lv-p1ilv1820),idt891lv.1.2,p1ilv1820.1.2,1P_UG_AL_1/0_Brenau_2,0.001,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:idt1583lv-p1ilv2815),idt1583lv.1.2,p1ilv2815.1.2,1P_UG_AL_2/0_Converse_2,0.001,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:idt202-idt203),idt202-idt203x.3,idt202.3,1P_OH_AL_ACSR_#2_Sparrow_1,0.240512,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:idt1577-idt1583),idt1577-idt1583xx.2,idt1577-idt1583xxx.2,1P_UG_AL_1,0.340945,1,----,----,----,----,----,----,['0.9177'],['0.9547'],['158.492'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,151,600,0.1,20,3,60,True,
Line.l(r:idt144-idt145),idt144.1,idt145.1,1P_OH_AL_ACSR_#2_Sparrow_1,0.0293906,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:idt143-idt144),idt143.1,idt144.1,1P_OH_AL_ACSR_#2_Sparrow_1,0.0395504,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:idt1408-idt143),idt1408-idt143x.1,idt143.1,1P_OH_AL_ACSR_#2_Sparrow_1,0.0918662,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:idt1087-idt891),idt1087-idt891xx.3,idt1087-idt891xxx.3,1P_UG_AL_1,0.350665,1,----,----,----,----,----,----,['0.9177'],['0.9547'],['158.492'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,151,600,0.1,20,3,60,True,
Line.l(r:idt226-idt228),idt226-idt228xx.3,idt226-idt228xxx.3,1P_UG_AL_1,0.0198915,1,----,----,----,----,----,----,['0.9177'],['0.9547'],['158.492'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,151,600,0.1,20,3,60,True,
Line.l(r:idt1598-idt1615),idt1598-idt1615x.1.2.3,idt1598.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.381513,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:idt1112-p1imv40),p1imv40.1.2.3,idt1112.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.27639,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:idt778-p1imv40),idt778-p1imv40x.1.2.3,p1imv40.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.680941,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:idt1124-idt778),idt1124-idt778x.1.2.3,idt1124-idt778xx.1.2.3,3P_UG_AL_3,0.128451,3,----,----,----,----,----,----,['0.3289333 |0.05923333 0.3289333 |0.05923333 0.05923333 0.3289333'],['0.9076 |0.6647 0.9076 |0.6647 0.6647 0.9076'],['120.289 |-59.026 120.289 |-59.026 -59.026 120.289'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,295,600,0.1,20,3,60,True,
Line.l(r:idt1124-idt1179),idt1124-idt1179xx.1.2.3,idt1124-idt1179x.1.2.3,3P_UG_AL_3,0.0265877,3,----,----,----,----,----,----,['0.3289333 |0.05923333 0.3289333 |0.05923333 0.05923333 0.3289333'],['0.9076 |0.6647 0.9076 |0.6647 0.6647 0.9076'],['120.289 |-59.026 120.289 |-59.026 -59.026 120.289'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,295,600,0.1,20,3,60,True,
Line.l(r:idt1179-idt1397),idt1179-idt1397xx.1.2.3,idt1179-idt1397x.1.2.3,3P_UG_AL_3,0.275981,3,----,----,----,----,----,----,['0.3289333 |0.05923333 0.3289333 |0.05923333 0.05923333 0.3289333'],['0.9076 |0.6647 0.9076 |0.6647 0.6647 0.9076'],['120.289 |-59.026 120.289 |-59.026 -59.026 120.289'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,295,600,0.1,20,3,60,True,
Line.l(r:idt1087-idt1397),idt1087-idt1397x.1.2.3,idt1087-idt1397xx.1.2.3,3P_UG_AL_3,0.211307,3,----,----,----,----,----,----,['0.3289333 |0.05923333 0.3289333 |0.05923333 0.05923333 0.3289333'],['0.9076 |0.6647 0.9076 |0.6647 0.6647 0.9076'],['120.289 |-59.026 120.289 |-59.026 -59.026 120.289'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,295,600,0.1,20,3,60,True,
Line.l(r:idt1087-idt965),idt1087-idt965xx.1.2.3,idt1087-idt965x.1.2.3,3P_UG_AL_3,0.065226,3,----,----,----,----,----,----,['0.3289333 |0.05923333 0.3289333 |0.05923333 0.05923333 0.3289333'],['0.9076 |0.6647 0.9076 |0.6647 0.6647 0.9076'],['120.289 |-59.026 120.289 |-59.026 -59.026 120.289'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,295,600,0.1,20,3,60,True,
Line.l(r:idt1636-idt965),idt1636-idt965x.1.2.3,idt1636-idt965xx.1.2.3,3P_UG_AL_3,0.0798857,3,----,----,----,----,----,----,['0.3289333 |0.05923333 0.3289333 |0.05923333 0.05923333 0.3289333'],['0.9076 |0.6647 0.9076 |0.6647 0.6647 0.9076'],['120.289 |-59.026 120.289 |-59.026 -59.026 120.289'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,295,600,0.1,20,3,60,True,
Line.l(r:idt1615-idt1636),idt1615.1.2.3,idt1636.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.302857,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:idt1447-idt1615),idt1447-idt1615x.1.2.3,idt1615.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.515245,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:idt1447-idt203),idt203.1.2.3,idt1447.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.483333,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:idt203-idt226),idt226.1.2.3,idt203.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.474224,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:idt226-ihs3_1247),idt226-ihs3_1247x.1.2.3,idt226-ihs3_1247x_b1_1.1.2.3,3P_UG_AL_3_1,0.138721,3,----,----,----,----,----,----,['0.3289333 |0.05923333 0.3289333 |0.05923333 0.05923333 0.3289333'],['0.9076 |0.6647 0.9076 |0.6647 0.6647 0.9076'],['120.289 |-59.026 120.289 |-59.026 -59.026 120.289'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,475,600,0.1,20,3,60,True,
Line.l(r:idt226lv-p1ilv561),idt226lv.1.2.3,p1ilv561.1.2.3,3P_UG_AL_350kcmil_3_2,0.0418156,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:idt1447lv-p1ilv2592),idt1447lv.1.2.3,p1ilv2592.1.2.3,3P_UG_AL_750kcmil_3_1,0.0309519,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:idt1615lv-p1ilv2873),idt1615lv.1.2.3,p1ilv2873.1.2.3,3P_UG_AL_350kcmil_3_2,0.0580561,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:idt1598lv-p1ilv2847),idt1598lv.1.2.3,p1ilv2847.1.2.3,3P_UG_AL_750kcmil_3_1,0.0488016,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:idt1577lv-p1ilv2804),idt1577lv.1.2.3,p1ilv2804.1.2.3,3P_UG_AL_350kcmil_3_2,0.0331954,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:idt1577-idt1598),idt1598.1.2.3,idt1577.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.147661,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:idt1655lv-p1ilv2960),idt1655lv.1.2.3,p1ilv2960.1.2.3,3P_UG_AL_350kcmil_3_2,0.0535967,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:idt1408lv-p1ilv2532),idt1408lv.1.2.3,p1ilv2532.1.2.3,3P_UG_AL_350kcmil_3_2,0.0529025,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:idt1408-idt1655),idt1655.1.2.3,idt1408.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.175744,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:idt1493lv-p1ilv2668),idt1493lv.1.2.3,p1ilv2668.1.2.3,3P_UG_AL_350kcmil_3_2,0.0544342,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:idm2669-p1ilv3015),idm2669.1.2.3,p1ilv3015.1.2.3,3P_UG_AL_750kcmil_3_1,0.00814325,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:idm2669-idt1493lv),idt1493lv.1.2.3,idm2669.1.2.3,3P_UG_AL_750kcmil_3_1,0.0521746,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:idt1493-idt1655),idt1655.1.2.3,idt1493.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.257574,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
