,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l(r:p2udm895-p2udm897),p2udm897.1.2,p2udm895.1.2,1P_OH_AL_4/0_Zuzara_2,0.0579633,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm897-p2udt204lv),p2udt204lv.1.2,p2udm897.1.2,1P_OH_AL_2/0_Rucina_2,0.0173324,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt206lv-p2ulv295),p2udt206lv.1.2,p2ulv295.1.2,1P_OH_AL_2/0_Rucina_2,0.0143787,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt207lv-p2ulv296),p2udt207lv.1.2,p2ulv296.1.2,1P_UG_AL_2/0_Converse_2,0.0182665,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udt211lv-p2ulv302),p2udt211lv.1.2,p2ulv302.1.2,1P_UG_AL_1/0_Brenau_2,0.00455347,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt211lv-p2ulv311),p2udt211lv.1.2,p2ulv311.1.2,1P_UG_AL_1/0_Brenau_2,0.00551167,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm909-p2ulv310),p2udm909.1.2,p2ulv310.1.2,1P_UG_AL_1/0_Brenau_2,0.00474802,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm909-p2udt211lv),p2udt211lv.1.2,p2udm909.1.2,1P_UG_AL_1/0_Brenau_2,0.00903009,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm911-p2ulv312),p2udm911.1.2,p2ulv312.1.2,1P_UG_AL_1/0_Brenau_2,0.00457083,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm911-p2udt211lv),p2udt211lv.1.2,p2udm911.1.2,1P_UG_AL_1/0_Brenau_2,0.00902296,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt213lv-p2ulv304),p2udt213lv.1.2,p2ulv304.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00396691,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt216lv-p2ulv308),p2udt216lv.1.2,p2ulv308.1.2,1P_OH_AL_2/0_Rucina_2,0.0136412,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt217lv-p2ulv309),p2udt217lv.1.2,p2ulv309.1.2,1P_OH_AL_2/0_Rucina_2,0.0115572,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt218lv-p2ulv314),p2udt218lv.1.2,p2ulv314.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00584932,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt257lv-p2ulv394),p2udt257lv.1.2,p2ulv394.1.2,1P_OH_AL_2/0_Rucina_2,0.0111223,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm991-p2ulv395),p2udm991.1.2,p2ulv395.1.2,1P_OH_AL_2/0_Rucina_2,0.0119697,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm991-p2ulv397),p2udm991.1.2,p2ulv397.1.2,1P_OH_AL_2/0_Rucina_2,0.0118478,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm991-p2udt258lv),p2udt258lv.1.2,p2udm991.1.2,1P_OH_AL_2/0_Rucina_2_2,0.0190855,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,300,600,0.1,20,3,60,True,
Line.l(r:p2udm993-p2ulv4824),p2udm993.1.2,p2ulv4824.1.2,1P_OH_AL_2/0_Rucina_2,0.0205658,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm993-p2udt258lv),p2udt258lv.1.2,p2udm993.1.2,1P_OH_AL_4/0_Zuzara_2,0.0381641,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt596lv-p2ulv7124),p2udt596lv.1.2,p2ulv7124.1.2,1P_OH_AL_2/0_Rucina_2,0.0145116,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm2020-p2ulv1268),p2udm2020.1.2,p2ulv1268.1.2,1P_OH_AL_2/0_Rucina_2,0.00606479,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm2020-p2udt596lv),p2udt596lv.1.2,p2udm2020.1.2,1P_OH_AL_4/0_Zuzara_2,0.0494059,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm2022-p2ulv9819),p2udm2022.1.2,p2ulv9819.1.2,1P_OH_AL_2/0_Rucina_2,0.00842134,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm2022-p2udt596lv),p2udt596lv.1.2,p2udm2022.1.2,1P_OH_AL_4/0_Zuzara_2,0.0737595,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt771lv-p2ulv1474),p2udt771lv.1.2,p2ulv1474.1.2,1P_OH_AL_2/0_Rucina_2,0.00499325,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt1142lv-p2ulv2396),p2udt1142lv.1.2,p2ulv2396.1.2,1P_UG_AL_1/0_Brenau_2,0.0125454,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt1664lv-p2ulv3521),p2udt1664lv.1.2,p2ulv3521.1.2,1P_OH_AL_4/0_Zuzara_2,0.0316016,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm6004-p2ulv3582),p2udm6004.1.2,p2ulv3582.1.2,1P_OH_AL_4/0_Zuzara_2,0.0407497,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm6004-p2udt1714lv),p2udt1714lv.1.2,p2udm6004.1.2,1P_OH_AL_2/0_Rucina_2,0.0175186,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm6005-p2ulv44616),p2udm6005.1.2,p2ulv44616.1.2,1P_OH_AL_2/0_Rucina_2,0.0117288,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm6005-p2udt1714lv),p2udt1714lv.1.2,p2udm6005.1.2,1P_OH_AL_4/0_Zuzara_2,0.0350371,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt1765lv-p2ulv3660),p2udt1765lv.1.2,p2ulv3660.1.2,1P_OH_AL_2/0_Rucina_2,0.0125574,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt2270lv-p2ulv4749),p2udt2270lv.1.2,p2ulv4749.1.2,1P_OH_AL_2/0_Rucina_2,0.0047875,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt2683lv-p2ulv5740),p2udt2683lv.1.2,p2ulv5740.1.2,1P_OH_AL_2/0_Rucina_2,0.0158983,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt3751lv-p2ulv8249),p2udt3751lv.1.2,p2ulv8249.1.2,1P_OH_AL_2/0_Rucina_2,0.00794332,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt3751lv-p2ulv33019),p2udt3751lv.1.2,p2ulv33019.1.2,1P_OH_AL_2/0_Rucina_2,0.00964274,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm12759-p2ulv8248),p2udm12759.1.2,p2ulv8248.1.2,1P_OH_AL_4_Periwinkle_2,0.00183175,2,----,----,----,----,----,----,['1.760967 |0.3959667 1.760967'],['0.6698333 |0.5686333 0.6698333'],['36.92503 |-17.55897 36.92503'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm12759-p2udt3751lv),p2udt3751lv.1.2,p2udm12759.1.2,1P_OH_AL_2/0_Rucina_2,0.0197997,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt4200lv-p2ulv34476),p2udt4200lv.1.2,p2ulv34476.1.2,1P_OH_AL_2/0_Rucina_2,0.0128448,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm14207-p2ulv9796),p2udm14207.1.2,p2ulv9796.1.2,1P_OH_AL_2/0_Rucina_2,0.0133871,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm14207-p2udt4200lv),p2udt4200lv.1.2,p2udm14207.1.2,1P_OH_AL_4/0_Zuzara_2,0.0527672,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm14209-p2ulv44014),p2udm14209.1.2,p2ulv44014.1.2,1P_OH_AL_2/0_Rucina_2,0.0130747,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm14209-p2udt4200lv),p2udt4200lv.1.2,p2udm14209.1.2,1P_OH_AL_4/0_Zuzara_2,0.0563514,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt11871lv-p2ulv43852),p2udt11871lv.1.2,p2ulv43852.1.2,1P_OH_AL_4/0_Zuzara_2,0.0424157,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm37998-p2ulv44031),p2udm37998.1.2,p2ulv44031.1.2,1P_OH_AL_2/0_Rucina_2,0.00637907,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm37998-p2udt11906lv),p2udt11906lv.1.2,p2udm37998.1.2,1P_OH_AL_4/0_Zuzara_2,0.0322811,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm37999-p2ulv45073),p2udm37999.1.2,p2ulv45073.1.2,1P_OH_AL_2/0_Rucina_2,0.00886276,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udm37999-p2udt11906lv),p2udt11906lv.1.2,p2udm37999.1.2,1P_OH_AL_4/0_Zuzara_2,0.0439183,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt12114lv-p2ulv45049),p2udt12114lv.1.2,p2ulv45049.1.2,1P_OH_AL_2/0_Rucina_2,0.0110657,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt12333lv-p2ulv46089),p2udt12333lv.1.2,p2ulv46089.1.2,1P_UG_AL_1/0_Brenau_2,0.0210263,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt158-p2udt771),p2udt158-p2udt771x.2,p2udt771.2,1P_OH_AL_ACSR_#2_Sparrow_1,0.0282611,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:p2udt1714-p2udt9927),p2udt1714-p2udt9927x.2,p2udt1714.2,1P_OH_AL_ACSR_#2_Sparrow_1,0.0525657,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:p2udt2683-p2udt3760),p2udt2683-p2udt3760x.3,p2udt2683.3,1P_OH_AL_ACSR_#2_Sparrow_1,0.074609,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:p2udt203-p2udt204),p2udt204.1,p2udt203.1,1P_OH_AL_ACSR_#2_Sparrow_1,0.0377915,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:p2udt204-p2udt208),p2udt204-p2udt208x.1,p2udt204.1,1P_OH_AL_ACSR_#2_Sparrow_1,0.0656649,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:p2udt209-p2udt2242),p2udt209.1.2.3,p2udt2242.1.2.3,3P_OH_AL_ACSR_336kcmil_Merlin_3,0.0493411,3,----,----,----,----,----,----,['0.2377333 |0.06463333 0.2377333 |0.06463333 0.06463333 0.2377333'],['0.6083333 |0.2055333 0.6083333 |0.2055333 0.2055333 0.6083333'],['7.7076 |-3.3441 7.7076 |-3.3441 -3.3441 7.7076'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,475,600,0.1,20,3,60,True,
Line.l(r:p2udt1664-p2udt209),p2udt1664.1.2.3,p2udt209.1.2.3,3P_OH_AL_ACSR_336kcmil_Merlin_3,0.0287018,3,----,----,----,----,----,----,['0.2377333 |0.06463333 0.2377333 |0.06463333 0.06463333 0.2377333'],['0.6083333 |0.2055333 0.6083333 |0.2055333 0.2055333 0.6083333'],['7.7076 |-3.3441 7.7076 |-3.3441 -3.3441 7.7076'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,475,600,0.1,20,3,60,True,
