,phases,windings,wdg,bus,conn,kV,kVA,tap,%R,Rneut,Xneut,buses,conns,kVs,kVAs,taps,XHL,XHT,XLT,Xscarray,thermal,n,m,flrise,hsrise,%loadloss,%noloadloss,normhkVA,emerghkVA,sub,MaxTap,MinTap,NumTaps,subname,%imag,ppm_antifloat,%Rs,bank,XfmrCode,XRConst,X12,X13,X23,LeadLag,WdgCurrents,Core,RdcOhms,Seasons,Ratings,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Transformer.tr(r:p2udt209-p2udt209lv),3,2,2,p2udt209lv,wye ,0.48,300,1,0.91198,-1,0,"['p2udt209', 'p2udt209lv']","['delta', 'wye']","['12.47', '0.48']","['300', '300']","['1', '1']",3.76,35,30,['3.76'],2,.8,.8,65,15,1.82396,0.325,330,450,n,1.1,0.9,32,,0,1,"['0.91198', '0.91198']",,,NO,3.76,35,30,Lag,"0.7919258, (-55.337), 34.55048, (123.84), 0.791934, (-175.34), 34.55086, (3.8397), 0.7919143, (64.665), 34.54995, (-116.16), ",shell,0.001984468,1,['1100'],15.279,20.835,0.007,100,36,60,True,
Transformer.tr(r:p2udt210-p2udt210lv),3,2,2,p2udt210lv,wye ,0.48,500,1,0.73225,-1,0,"['p2udt210', 'p2udt210lv']","['delta', 'wye']","['12.47', '0.48']","['500', '500']","['1', '1']",4.36,35,30,['4.36'],2,.8,.8,65,15,1.4645,0.266,550,750,n,1.1,0.9,32,,0,1,"['0.73225', '0.73225']",,,NO,4.36,35,30,Lag,"2.277557, (-59.867), 101.0623, (119.68), 2.277546, (-179.87), 101.0618, (-0.31586), 2.277505, (60.133), 101.0599, (-120.32), ",shell,0.0009560256,1,['1100'],25.465,34.724,0.007,100,36,60,True,
Transformer.tr(r:p2udt211-p2udt211lv),1,3,3,p2udt211lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['p2udt211.1', 'p2udt211lv.1.0', 'p2udt211lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.341557, (-28.776), 39.56104, (150.66), 39.54625, (150.7), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:p2udt212-p2udt212lv),3,2,2,p2udt212lv,wye ,0.48,300,1,0.91198,-1,0,"['p2udt212', 'p2udt212lv']","['delta', 'wye']","['12.47', '0.48']","['300', '300']","['1', '1']",3.76,35,30,['3.76'],2,.8,.8,65,15,1.82396,0.325,330,450,n,1.1,0.9,32,,0,1,"['0.91198', '0.91198']",,,NO,3.76,35,30,Lag,"1.593118, (-59.952), 70.64619, (119.57), 1.593113, (-179.95), 70.64592, (-0.42482), 1.593084, (60.048), 70.64463, (-120.43), ",shell,0.001984468,1,['1100'],15.279,20.835,0.007,100,36,60,True,
Transformer.tr(r:p2udt213-p2udt213lv),1,3,3,p2udt213lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['p2udt213.3', 'p2udt213lv.1.0', 'p2udt213lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.466758, (86.157), 13.35133, (-95.716), 13.34938, (-95.702), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:p2udt214-p2udt214lv),3,2,2,p2udt214lv,wye ,0.48,1000,1,0.798815,-1,0,"['p2udt214', 'p2udt214lv']","['delta', 'wye']","['12.47', '0.48']","['1000', '1000']","['1', '1']",5.62,35,30,['5.62'],2,.8,.8,65,15,1.59763,0.2,1100,1500,n,1.1,0.9,32,,0,1,"['0.798815', '0.798815']",,,NO,5.62,35,30,Lag,"6.488133, (-44.958), 289.5693, (134.93), 6.488104, (-164.96), 289.568, (14.927), 6.488008, (75.043), 289.5637, (-105.07), ",shell,0.0005214664,1,['1100'],50.929,69.449,0.007,100,36,60,True,
Transformer.tr(r:p2udt215-p2udt215lv),3,2,2,p2udt215lv,wye ,0.48,75,1,0.87204,-1,0,"['p2udt215', 'p2udt215lv']","['delta', 'wye']","['12.47', '0.48']","['75', '75']","['1', '1']",3.24,35,30,['3.24'],2,.8,.8,65,15,1.74408,0.6,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.87204', '0.87204']",,,NO,3.24,35,30,Lag,"0.3757616, (-40.709), 16.36412, (138.95), 0.3757604, (-160.71), 16.36407, (18.956), 0.375754, (79.291), 16.36377, (-101.05), ",shell,0.007590236,1,['1100'],3.8197,5.2087,0.007,100,36,60,True,
Transformer.tr(r:p2udt216-p2udt216lv),1,3,3,p2udt216lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt216.3', 'p2udt216lv.1.0', 'p2udt216lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.3852628, (113.59), 11.05723, (-66.696), 11.05647, (-66.669), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt217-p2udt217lv),1,3,3,p2udt217lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt217.3', 'p2udt217lv.1.0', 'p2udt217lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.057549, (112.34), 31.22978, (-67.812), 31.22431, (-67.742), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt218-p2udt218lv),1,3,3,p2udt218lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['p2udt218.2', 'p2udt218lv.1.0', 'p2udt218lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.5931505, (-149.48), 17.10968, (29.229), 17.10678, (29.247), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:p2udt257-p2udt257lv),1,3,3,p2udt257lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt257.3', 'p2udt257lv.1.0', 'p2udt257lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.869841, (110.91), 25.5985, (-69.294), 25.59399, (-69.236), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt258-p2udt258lv),1,3,3,p2udt258lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['p2udt258.1', 'p2udt258lv.1.0', 'p2udt258lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"2.374848, (-11.452), 70.47934, (168.39), 70.45913, (168.46), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:p2udt596-p2udt596lv),1,3,3,p2udt596lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['p2udt596.2', 'p2udt596lv.1.0', 'p2udt596lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.73574, (-135.94), 51.31955, (43.805), 51.30507, (43.861), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:p2udt599-p2udt599lv),3,2,2,p2udt599lv,wye ,0.48,100,1,0.805475,-1,0,"['p2udt599', 'p2udt599lv']","['delta', 'wye']","['12.47', '0.48']","['100', '100']","['1', '1']",3.29,35,30,['3.29'],2,.8,.8,65,15,1.61095,0.62,110,150,n,1.1,0.9,32,,0,1,"['0.805475', '0.805475']",,,NO,3.29,35,30,Lag,"0.6651978, (-40.549), 29.18604, (139.21), 0.6652038, (-160.55), 29.18632, (19.21), 0.6651999, (79.451), 29.18614, (-100.79), ",shell,0.005258141,1,['1100'],5.0929,6.9449,0.007,100,36,60,True,
Transformer.tr(r:p2udt602-p2udt602lv),3,2,2,p2udt602lv,wye ,0.48,150,1,1.0784,-1,0,"['p2udt602', 'p2udt602lv']","['delta', 'wye']","['12.47', '0.48']","['150', '150']","['1', '1']",3.39,35,30,['3.39'],2,.8,.8,65,15,2.1568,0.516667,165,225,n,1.1,0.9,32,,0,1,"['1.0784', '1.0784']",,,NO,3.39,35,30,Lag,"0.4359042, (-56.192), 18.76027, (122.55), 0.4359024, (-176.19), 18.76019, (2.5478), 0.4358965, (63.808), 18.75991, (-117.45), ",shell,0.004693197,1,['1100'],7.6394,10.417,0.007,100,36,60,True,
Transformer.tr(r:p2udt739-p2udt739lv),3,2,2,p2udt739lv,wye ,0.48,100,1,0.805475,-1,0,"['p2udt739', 'p2udt739lv']","['delta', 'wye']","['12.47', '0.48']","['100', '100']","['1', '1']",3.29,35,30,['3.29'],2,.8,.8,65,15,1.61095,0.62,110,150,n,1.1,0.9,32,,0,1,"['0.805475', '0.805475']",,,NO,3.29,35,30,Lag,"0.8338439, (-38.233), 36.76873, (141.62), 0.8338611, (-158.23), 36.76952, (21.624), 0.8338297, (81.769), 36.76808, (-98.376), ",shell,0.005258141,1,['1100'],5.0929,6.9449,0.007,100,36,60,True,
Transformer.tr(r:p2udt771-p2udt771lv),1,3,3,p2udt771lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt771.2', 'p2udt771lv.1.0', 'p2udt771lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.243111, (-130.31), 36.80304, (49.523), 36.79341, (49.605), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt1142-p2udt1142lv),1,3,3,p2udt1142lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt1142.3', 'p2udt1142lv.1.0', 'p2udt1142lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.1464904, (88.552), 3.971568, (-95.165), 3.971253, (-95.156), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt1255-p2udt1255lv),3,2,2,p2udt1255lv,wye ,0.48,300,1,0.91198,-1,0,"['p2udt1255', 'p2udt1255lv']","['delta', 'wye']","['12.47', '0.48']","['300', '300']","['1', '1']",3.76,35,30,['3.76'],2,.8,.8,65,15,1.82396,0.325,330,450,n,1.1,0.9,32,,0,1,"['0.91198', '0.91198']",,,NO,3.76,35,30,Lag,"1.379448, (-60.178), 61.03378, (119.27), 1.379446, (179.82), 61.03369, (-0.7315), 1.379434, (59.822), 61.03315, (-120.73), ",shell,0.001984468,1,['1100'],15.279,20.835,0.007,100,36,60,True,
Transformer.tr(r:p2udt1279-p2udt1279lv),3,2,2,p2udt1279lv,wye ,0.48,300,1,0.91198,-1,0,"['p2udt1279', 'p2udt1279lv']","['delta', 'wye']","['12.47', '0.48']","['300', '300']","['1', '1']",3.76,35,30,['3.76'],2,.8,.8,65,15,1.82396,0.325,330,450,n,1.1,0.9,32,,0,1,"['0.91198', '0.91198']",,,NO,3.76,35,30,Lag,"1.599773, (-39.01), 70.80352, (140.86), 1.599806, (-159.01), 70.80503, (20.858), 1.599745, (80.992), 70.80225, (-99.142), ",shell,0.001984468,1,['1100'],15.279,20.835,0.007,100,36,60,True,
Transformer.tr(r:p2udt1622-p2udt1622lv),3,2,2,p2udt1622lv,wye ,0.48,100,1,0.805475,-1,0,"['p2udt1622', 'p2udt1622lv']","['delta', 'wye']","['12.47', '0.48']","['100', '100']","['1', '1']",3.29,35,30,['3.29'],2,.8,.8,65,15,1.61095,0.62,110,150,n,1.1,0.9,32,,0,1,"['0.805475', '0.805475']",,,NO,3.29,35,30,Lag,"0.5911495, (-46.559), 25.87032, (132.99), 0.5911615, (-166.56), 25.87088, (12.991), 0.5911397, (73.443), 25.86987, (-107.01), ",shell,0.005258141,1,['1100'],5.0929,6.9449,0.007,100,36,60,True,
Transformer.tr(r:p2udt1664-p2udt1664lv),1,3,3,p2udt1664lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt1664.2', 'p2udt1664lv.1.0', 'p2udt1664lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.4968569, (-121.4), 14.40335, (58.561), 14.40287, (58.595), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt1714-p2udt1714lv),1,3,3,p2udt1714lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['p2udt1714.2', 'p2udt1714lv.1.0', 'p2udt1714lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.677124, (-129.56), 49.54287, (50.274), 49.53472, (50.329), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:p2udt1765-p2udt1765lv),1,3,3,p2udt1765lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt1765.2', 'p2udt1765lv.1.0', 'p2udt1765lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.623326, (-128.53), 18.20311, (51.231), 18.20091, (51.274), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt2221-p2udt2221lv),3,2,2,p2udt2221lv,wye ,0.48,75,1,0.87204,-1,0,"['p2udt2221', 'p2udt2221lv']","['delta', 'wye']","['12.47', '0.48']","['75', '75']","['1', '1']",3.24,35,30,['3.24'],2,.8,.8,65,15,1.74408,0.6,82.5,112.5,n,1.1,0.9,32,,0,1,"['0.87204', '0.87204']",,,NO,3.24,35,30,Lag,"0.3810402, (-55.664), 16.6471, (123.53), 0.3810378, (-175.66), 16.64698, (3.532), 0.3810326, (64.336), 16.64674, (-116.47), ",shell,0.007590236,1,['1100'],3.8197,5.2087,0.007,100,36,60,True,
Transformer.tr(r:p2udt2242-p2udt2242lv),3,2,2,p2udt2242lv,wye ,0.48,150,1,1.0784,-1,0,"['p2udt2242', 'p2udt2242lv']","['delta', 'wye']","['12.47', '0.48']","['150', '150']","['1', '1']",3.39,35,30,['3.39'],2,.8,.8,65,15,2.1568,0.516667,165,225,n,1.1,0.9,32,,0,1,"['1.0784', '1.0784']",,,NO,3.39,35,30,Lag,"0.8474046, (-59.698), 37.30473, (119.6), 0.8474163, (-179.7), 37.30527, (-0.39729), 0.8473922, (60.304), 37.30416, (-120.4), ",shell,0.004693197,1,['1100'],7.6394,10.417,0.007,100,36,60,True,
Transformer.tr(r:p2udt2270-p2udt2270lv),1,3,3,p2udt2270lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt2270.1', 'p2udt2270lv.1.0', 'p2udt2270lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.3580692, (-12.617), 10.25264, (166.8), 10.25158, (166.82), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt2637-p2udt2637lv),3,2,2,p2udt2637lv,wye ,0.48,1000,1,0.798815,-1,0,"['p2udt2637', 'p2udt2637lv']","['delta', 'wye']","['12.47', '0.48']","['1000', '1000']","['1', '1']",5.62,35,30,['5.62'],2,.8,.8,65,15,1.59763,0.2,1100,1500,n,1.1,0.9,32,,0,1,"['0.798815', '0.798815']",,,NO,5.62,35,30,Lag,"4.235282, (-47.592), 188.2337, (132.2), 4.23531, (-167.59), 188.235, (12.2), 4.235192, (72.409), 188.2297, (-107.8), ",shell,0.0005214664,1,['1100'],50.929,69.449,0.007,100,36,60,True,
Transformer.tr(r:p2udt2683-p2udt2683lv),1,3,3,p2udt2683lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['p2udt2683.3', 'p2udt2683lv.1.0', 'p2udt2683lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.8448435, (108.25), 24.85664, (-71.992), 24.85152, (-71.936), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:p2udt2712-p2udt2712lv),3,2,2,p2udt2712lv,wye ,0.48,100,1,0.805475,-1,0,"['p2udt2712', 'p2udt2712lv']","['delta', 'wye']","['12.47', '0.48']","['100', '100']","['1', '1']",3.29,35,30,['3.29'],2,.8,.8,65,15,1.61095,0.62,110,150,n,1.1,0.9,32,,0,1,"['0.805475', '0.805475']",,,NO,3.29,35,30,Lag,"0.3693309, (-38.628), 15.86375, (140.99), 0.3693305, (-158.63), 15.86373, (20.989), 0.3693275, (81.372), 15.86359, (-99.012), ",shell,0.005258141,1,['1100'],5.0929,6.9449,0.007,100,36,60,True,
